"POLYGON ((-120.37916 36.764018, -120.37916 36.756465, -120.371607 36.756465, -120.371607 36.764018, -120.37916 36.764018))",CA_0
"POLYGON ((-120.025844 36.422057, -120.025844 36.414504, -120.018291 36.414504, -120.018291 36.422057, -120.025844 36.422057))",CA_1
"POLYGON ((-120.345119 36.559501, -120.345119 36.551948, -120.337566 36.551948, -120.337566 36.559501, -120.345119 36.559501))",CA_2
"POLYGON ((-119.904753 36.551642, -119.904753 36.544089, -119.8972 36.544089, -119.8972 36.551642, -119.904753 36.551642))",CA_3
"POLYGON ((-120.050691 36.467033, -120.050691 36.45948, -120.043138 36.45948, -120.043138 36.467033, -120.050691 36.467033))",CA_4
"POLYGON ((-119.795932 36.499026, -119.795932 36.491472, -119.788379 36.491472, -119.788379 36.499026, -119.795932 36.499026))",CA_5
"POLYGON ((-120.154605 36.663537, -120.154605 36.655984, -120.147052 36.655984, -120.147052 36.663537, -120.154605 36.663537))",CA_6
"POLYGON ((-120.298003 36.671382, -120.298003 36.663829, -120.29045 36.663829, -120.29045 36.671382, -120.298003 36.671382))",CA_7
"POLYGON ((-120.397861 36.626, -120.397861 36.618447, -120.390308 36.618447, -120.390308 36.626, -120.397861 36.626))",CA_8
"POLYGON ((-119.80162 36.498613, -119.80162 36.49106, -119.794067 36.49106, -119.794067 36.498613, -119.80162 36.498613))",CA_9
"POLYGON ((-119.97901 36.605931, -119.97901 36.598378, -119.971456 36.598378, -119.971456 36.605931, -119.97901 36.605931))",CA_10
"POLYGON ((-119.85952 36.520912, -119.85952 36.513359, -119.851967 36.513359, -119.851967 36.520912, -119.85952 36.520912))",CA_11
"POLYGON ((-120.167629 36.305735, -120.167629 36.298182, -120.160076 36.298182, -120.160076 36.305735, -120.167629 36.305735))",CA_12
"POLYGON ((-120.211784 36.377641, -120.211784 36.370088, -120.204231 36.370088, -120.204231 36.377641, -120.211784 36.377641))",CA_13
"POLYGON ((-120.721986 36.814019, -120.721986 36.806465, -120.714433 36.806465, -120.714433 36.814019, -120.721986 36.814019))",CA_14
"POLYGON ((-119.841981 36.443842, -119.841981 36.436289, -119.834428 36.436289, -119.834428 36.443842, -119.841981 36.443842))",CA_15
"POLYGON ((-120.1921 36.603718, -120.1921 36.596165, -120.184547 36.596165, -120.184547 36.603718, -120.1921 36.603718))",CA_16
"POLYGON ((-120.346286 36.431097, -120.346286 36.423543, -120.338733 36.423543, -120.338733 36.431097, -120.346286 36.431097))",CA_17
"POLYGON ((-120.354441 36.718648, -120.354441 36.711095, -120.346888 36.711095, -120.346888 36.718648, -120.354441 36.718648))",CA_18
"POLYGON ((-119.887892 36.588692, -119.887892 36.581138, -119.880339 36.581138, -119.880339 36.588692, -119.887892 36.588692))",CA_19
"POLYGON ((-119.905899 36.540653, -119.905899 36.5331, -119.898346 36.5331, -119.898346 36.540653, -119.905899 36.540653))",CA_20
"POLYGON ((-120.013392 36.479455, -120.013392 36.471902, -120.005839 36.471902, -120.005839 36.479455, -120.013392 36.479455))",CA_21
"POLYGON ((-120.281433 36.418061, -120.281433 36.410507, -120.27388 36.410507, -120.27388 36.418061, -120.281433 36.418061))",CA_22
"POLYGON ((-120.111857 36.294666, -120.111857 36.287113, -120.104304 36.287113, -120.104304 36.294666, -120.111857 36.294666))",CA_23
"POLYGON ((-120.28976 36.542545, -120.28976 36.534992, -120.282207 36.534992, -120.282207 36.542545, -120.28976 36.542545))",CA_24
"POLYGON ((-119.723643 36.4597, -119.723643 36.452147, -119.716089 36.452147, -119.716089 36.4597, -119.723643 36.4597))",CA_25
"POLYGON ((-120.547254 36.781453, -120.547254 36.7739, -120.539701 36.7739, -120.539701 36.781453, -120.547254 36.781453))",CA_26
"POLYGON ((-120.394253 36.629529, -120.394253 36.621976, -120.3867 36.621976, -120.3867 36.629529, -120.394253 36.629529))",CA_27
"POLYGON ((-120.220219 36.362627, -120.220219 36.355074, -120.212666 36.355074, -120.212666 36.362627, -120.220219 36.362627))",CA_28
"POLYGON ((-120.572796 36.82115, -120.572796 36.813597, -120.565242 36.813597, -120.565242 36.82115, -120.572796 36.82115))",CA_29
"POLYGON ((-120.104903 36.666919, -120.104903 36.659366, -120.09735 36.659366, -120.09735 36.666919, -120.104903 36.666919))",CA_30
"POLYGON ((-120.457644 36.718525, -120.457644 36.710972, -120.450091 36.710972, -120.450091 36.718525, -120.457644 36.718525))",CA_31
"POLYGON ((-120.465604 36.574625, -120.465604 36.567072, -120.458051 36.567072, -120.458051 36.574625, -120.465604 36.574625))",CA_32
"POLYGON ((-119.892575 36.504661, -119.892575 36.497108, -119.885022 36.497108, -119.885022 36.504661, -119.892575 36.504661))",CA_33
"POLYGON ((-119.881436 36.499717, -119.881436 36.492163, -119.873883 36.492163, -119.873883 36.499717, -119.881436 36.499717))",CA_34
